Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
AEX_fsb,Netherlands 25,5.0,GBP,Equity,0.0,0.0,0.0,EMEA
ASX_fsb,Australia 200,1.0,GBP,Equity,0.0,0.0,0.0,ASIA
AUD_fsb,AUD/USD Forward,1.0,GBP,FX,0.0,0.0,0.0,ASIA
AUDJPY_fsb,AUD/JPY Forward,1.0,GBP,FX,0.0,0.0,0.0,ASIA
BOBL_fsb,Bobl,0.5,GBP,Bond,0.0,0.0,0.0,EMEA
BRENT_W_fsb,Oil - Brent Crude,1.0,GBP,OilGas,0.0,0.0,0.0,EMEA
BTP_fsb,Long-Term BTP,0.5,GBP,Bond,0.0,0.0,0.0,EMEA
BTP3_fsb,Short-Term BTP,0.5,GBP,Bond,0.0,0.0,0.0,EMEA
BUND_fsb,Bund,0.5,GBP,Bond,0.0,0.0,0.0,EMEA
BUXL_fsb,Buxl,0.5,GBP,Bond,0.0,0.0,0.0,EMEA
CAC_fsb,France 40,0.5,GBP,Equity,0.0,0.0,0.0,EMEA
CAD_fsb,USD/CAD Forward,1.0,GBP,FX,0.0,0.0,0.0,US
CADJPY_fsb,CAD/JPY Forward,1.0,GBP,FX,0.0,0.0,0.0,US
CHF_fsb,USD/CHF Forward,1.0,GBP,FX,0.0,0.0,0.0,EMEA
CHFJPY_fsb,CHF/JPY Forward,1.0,GBP,FX,0.0,0.0,0.0,EMEA
COCOA_fsb,New York Cocoa,1.0,GBP,Ags,0.0,0.0,0.0,US
COCOA_LDN_fsb,London Cocoa,0.5,GBP,Ags,0.0,0.0,0.0,EMEA
COFFEE_fsb,Coffee Arabica,0.5,GBP,Ags,0.0,0.0,0.0,US
COPPER_fsb,High Grade Copper,0.1,GBP,Metals,0.0,0.0,0.0,US
CORN_fsb,Corn,10.0,GBP,Ags,0.0,0.0,0.0,US
COTTON2_fsb,NY Cotton,0.5,GBP,Ags,0.0,0.0,0.0,US
CRUDE_W_fsb,Oil - US Crude,1.0,GBP,OilGas,0.0,0.0,0.0,US
DAX_fsb,Germany 40,0.2,GBP,Equity,0.0,0.0,0.0,EMEA
DOW_fsb,Wall Street,0.2,GBP,Equity,0.0,0.0,0.0,US
DX_fsb,US Dollar Basket,0.5,GBP,FX,0.0,0.0,0.0,US
EUA_fsb,Carbon Emissions,0.25,GBP,OilGas,0.0,0.0,0.0,EMEA
EUR_fsb,EUR/USD Forward,1.0,GBP,FX,0.0,0.0,0.0,EMEA
EU-BANKS_fsb,Euro Stoxx Banks Index,10.0,GBP,Equity,0.0,0.0,0.0,EMEA
EURCAD_fsb,EUR/CAD Forward,1.0,GBP,FX,0.0,0.0,0.0,EMEA
EURCHF_fsb,EUR/CHF Forward,1.0,GBP,FX,0.0,0.0,0.0,EMEA
EURGBP_fsb,EUR/GBP Forward,1.0,GBP,FX,0.0,0.0,0.0,EMEA
EURIBOR-ICE_fsb,Euribor,0.5,GBP,Bond,0.0,0.0,0.0,EMEA
EURO600_fsb,EU Stocks 600,2.47,GBP,Equity,0.0,0.0,0.0,EMEA
EUROSTX_fsb,EU Stocks 50,0.5,GBP,Equity,0.0,0.0,0.0,EMEA
FED_fsb,US 30-Day Fed Funds Rate,0.5,GBP,Bond,0.0,0.0,0.0,US
FTSE100_fsb,FTSE 100,0.5,GBP,Equity,0.0,0.0,0.0,EMEA
FTSE250_fsb,FTSE Mid 250,0.5,GBP,Equity,0.0,0.0,0.0,EMEA
FTSECHINAH_fsb,China H-shares,0.5,GBP,Equity,0.0,0.0,0.0,ASIA
GAS_NL_fsb,Natural Gas - EU TTF,0.25,GBP,OilGas,0.0,0.0,0.0,US
GAS_UK_fsb,UK Natural Gas,0.25,GBP,OilGas,0.0,0.0,0.0,US
