Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
ASX,HMUZ,-5,1,HMUZ,17
BTP,HMUZ,-5,1,HMUZ,6
BUXL,HMUZ,-5,1,HMUZ,6
CAD,HMUZ,-5,1,HMUZ,17
COFFEE,HKNUZ,-50,1,HKNUZ,19
COPPER,HNUZ,-30,1,FHJMNUVZ,27
CRUDE_W,Z,-40,-1,FGHJKMNQUVXZ,-11
DOW,HMUZ,-5,1,HMUZ,15
DX,HMUZ,-30,1,HMUZ,13
EDOLLAR,HMUZ,-1100,-1,HMUZ,18
EUA,Z,-30,1,HMUZ,14
EUR,HMUZ,-5,1,HMUZ,17
EUROSTX,HMUZ,-5,1,HMUZ,15
GAS_US,FGHJKMNQUXVZ,-35,-1,FGHJKMNQUXVZ,-4
GBP,HMUZ,-5,1,HMUZ,17
GOLD,GJMQVZ,-30,1,GJMQVZ,26
JGB,HMUZ,-20,1,HMUZ,15
JPY,HMUZ,-5,1,HMUZ,17
NASDAQ,HMUZ,-5,1,HMUZ,14
NIKKEI,HMUZ,-5,1,FGHJKMNQUVXZ,14
NZD,HMUZ,-10,1,HMUZ,17
SILVER,FHKMNQUZ,-45,-1,FHKMNQUZ,14
SOYBEAN,X,-60,-1,FHKNQUX,13
SOYMEAL,FHKNQUVZ,-90,-1,FHKNQUVZ,14
SOYOIL,FHKNQUVZ,-90,-1,FHKNQUVZ,14
US10,HMUZ,-25,1,HMUZ,19
US10U,HMUZ,-25,1,HMUZ,19
US2,HMUZ,-25,1,HMUZ,19
V2X,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,19
VIX,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,19
WHEAT,Z,-60,-1,HKNUZ,13
