Date,Month2,Month3,Month4,Month6,Month7,Month8,month9,Month10,Month11,MONTHC
2023-02-21 11:16:56,DEC-25|2026-03-17 11:00:00|OFFLINE,JUN-22|2022-09-20 10:00:00|OFFLINE,DEC-22|2022-12-20 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|TRADEABLE,DEC-23|2024-03-19 11:00:00|OFFLINE,MAR-24|2024-06-18 10:00:00|OFFLINE,DEC-24|2022-06-14 10:00:00|OFFLINE
2023-02-23 11:16:53,DEC-25|2026-03-17 11:00:00|OFFLINE,JUN-22|2022-09-20 10:00:00|OFFLINE,DEC-22|2022-12-20 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|TRADEABLE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2022-06-14 10:00:00|OFFLINE
2023-03-01 11:16:54,DEC-25|2026-03-17 11:00:00|OFFLINE,JUN-22|2022-09-20 10:00:00|OFFLINE,DEC-22|2022-12-20 11:00:00|OFFLINE,SEP-26|2023-06-14 10:00:00|OFFLINE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|TRADEABLE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2022-06-14 10:00:00|OFFLINE
2023-03-02 11:17:02,DEC-25|2026-03-17 11:00:00|OFFLINE,JUN-22|2022-09-20 10:00:00|OFFLINE,DEC-22|2022-12-20 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|TRADEABLE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2022-06-14 10:00:00|OFFLINE
2023-03-06 11:16:54,DEC-25|2026-03-17 11:00:00|OFFLINE,JUN-22|2022-09-20 10:00:00|OFFLINE,DEC-22|2022-12-20 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|OFFLINE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2022-06-14 10:00:00|OFFLINE
2023-03-08 11:16:56,DEC-25|2026-03-17 11:00:00|OFFLINE,JUN-22|2022-09-20 10:00:00|OFFLINE,DEC-22|2022-12-20 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|OFFLINE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-03-09 11:16:54,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-22|2023-03-14 11:00:00|TRADEABLE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-03-16 11:16:52,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-04-10 11:16:56,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|EDITS_ONLY,JUN-23|2023-09-19 10:00:00|EDITS_ONLY,SEP-23|2023-12-19 11:00:00|EDITS_ONLY,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|EDITS_ONLY,MAR-24|2024-06-18 10:00:00|EDITS_ONLY,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-04-12 11:16:56,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-05-02 11:16:56,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|EDITS_ONLY,JUN-23|2023-09-19 10:00:00|EDITS_ONLY,SEP-23|2023-12-19 11:00:00|EDITS_ONLY,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|EDITS_ONLY,MAR-24|2024-06-18 10:00:00|EDITS_ONLY,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-05-03 11:16:57,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-05-09 11:17:28,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|EDITS_ONLY,JUN-23|2023-09-19 10:00:00|EDITS_ONLY,SEP-23|2023-12-19 11:00:00|EDITS_ONLY,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|EDITS_ONLY,MAR-24|2024-06-18 10:00:00|EDITS_ONLY,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-05-10 11:17:29,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-05-30 11:16:55,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|EDITS_ONLY,JUN-23|2023-09-19 10:00:00|EDITS_ONLY,SEP-23|2023-12-19 11:00:00|EDITS_ONLY,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|EDITS_ONLY,MAR-24|2024-06-18 10:00:00|EDITS_ONLY,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-05-31 11:19:06,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-02 11:16:57,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-26|2023-09-19 10:00:00|OFFLINE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-06 11:16:55,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-13 11:17:30,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|OFFLINE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-14 11:16:51,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|TRADEABLE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-16 11:18:02,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|OFFLINE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-20 11:17:56,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|OFFLINE,JUN-23|2023-09-19 10:00:00|OFFLINE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
2023-06-22 11:17:10,MAR-25|2025-06-20 10:00:00|OFFLINE,JUN-25|2025-09-16 10:00:00|OFFLINE,SEP-25|2025-12-16 11:00:00|OFFLINE,MAR-23|2023-06-14 10:00:00|OFFLINE,JUN-23|2023-09-19 10:00:00|TRADEABLE,SEP-23|2023-12-19 11:00:00|TRADEABLE,DEC-25|2025-12-01 11:00:00|OFFLINE,DEC-23|2024-03-19 11:00:00|TRADEABLE,MAR-24|2024-06-18 10:00:00|TRADEABLE,DEC-24|2025-03-14 11:00:00|OFFLINE
