Date,Month1,Month2,Month3,Month4
2021-09-30 05:21:29,JAN-22|2021-12-30 19:15:00|UNKNOWN,DEC-21|2021-11-29 19:15:00|UNKNOWN,MAR-22|2022-02-25 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2021-11-30 05:29:09,JAN-22|2021-12-30 19:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,MAR-22|2022-02-25 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2021-12-31 05:21:20,AUG-22|2022-07-28 18:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,MAR-22|2022-02-25 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2022-04-28 20:06:55,AUG-22|2022-07-28 18:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,DEC-22|2022-11-29 19:15:00|UNKNOWN
2022-07-11 20:06:54,AUG-22|2022-07-28 18:15:00|UNKNOWN,JAN-23|2022-12-29 19:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,DEC-22|2022-11-29 19:15:00|UNKNOWN
2022-07-28 20:06:56,MAR-23|2023-02-27 19:15:00|UNKNOWN,JAN-23|2022-12-29 19:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,DEC-22|2022-11-29 19:15:00|UNKNOWN
2022-08-30 20:06:56,MAR-23|2023-02-27 19:15:00|UNKNOWN,JAN-23|2022-12-29 19:15:00|UNKNOWN,MAY-23|2023-04-27 18:15:00|UNKNOWN,DEC-22|2022-11-29 19:15:00|UNKNOWN
2022-11-29 20:06:55,MAR-23|2023-02-27 19:15:00|UNKNOWN,JAN-23|2022-12-29 19:15:00|UNKNOWN,MAY-23|2023-04-27 18:15:00|UNKNOWN,JUL-23|2023-06-29 18:15:00|UNKNOWN
2022-12-29 20:06:56,MAR-23|2023-02-27 19:15:00|UNKNOWN,AUG-23|2023-07-28 18:15:00|UNKNOWN,MAY-23|2023-04-27 18:15:00|UNKNOWN,JUL-23|2023-06-29 18:15:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-02-27 19:15:00|TRADEABLE,AUG-23|2023-07-28 18:15:00|OFFLINE,MAY-23|2023-04-27 18:15:00|OFFLINE,JUL-23|2023-06-29 18:15:00|OFFLINE
