Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
BUXL_fsb,HMUZ,-1,1,HMUZ,7
BTP_fsb,HMUZ,-1,1,HMUZ,7
CAD_fsb,HMUZ,-1,1,HMUZ,16
COFFEE_fsb,HKNUZ,-31,1,HKNUZ,12
CRUDE_W_fsb,FGHJKMNQUVXZ,-31,-1,FGHJKMNQUVXZ,-10
DOW_fsb,HMUZ,-1,1,HMUZ,17
EUR_fsb,HMUZ,-1,1,HMUZ,11
EUROSTX_fsb,HMUZ,-1,1,HMUZ,18
GILT_fsb,HMUZ,-1,1,HMUZ,-4
GOLD_fsb,GJMQZ,-1,1,GJMQZ,-5
JPY_fsb,HMUZ,-1,1,HMUZ,12
NASDAQ_fsb,HMUZ,-1,1,HMUZ,18
NIKKEI_fsb,HMUZ,-1,1,HMUZ,10
NZD_fsb,HMUZ,-1,1,HMUZ,16
SOYOIL_fsb,FKNQUZ,-31,-1,FKNQUZ,28
US10_fsb,HMUZ,-1,1,HMUZ,-5
