Instrument,SpreadCost
AEX_fsb,0.12
ASX_fsb,2.0
AUD_fsb,5.40
AUDJPY_fsb,4.50
BOBL_fsb,3.7
BRENT_W_fsb,4.0
BTP_fsb,2.58
BUND_fsb,1.5
BUXL_fsb,2.15
CAC_fsb,2.0
CAD_fsb,3.96
CHF_fsb,4.96
CHFJPY_fsb,6.0
COCOA_fsb,4.0
COCOA_LDN_fsb,3.1
COFFEE_fsb,24.6
COPPER_fsb,20.0
CORN,0.16
CORN_fsb,1.2
COTTON2_fsb,12.77
CRUDE_W_fsb,3.0
DAX_fsb,3.1
DOW_fsb,3.6
DX_fsb,3.96
EDOLLAR,0.0025
EDOLLAR_fsb,0.8
EUA_fsb,5.64
EUR_fsb,5.44
EURCAD_fsb,9.25
EURCHF_fsb,5.5
EURGBP_fsb,4.25
EURIBOR_fsb,2.0
EUROSTX,0.48
EUROSTX_fsb,1.0
FED_fsb,2.6
FTSE100_fsb,2.1
GAS_US_fsb,7.07
GASOIL_fsb,0.95
GASOLINE_fsb,15.0
GBP_fsb,5.25
GBPCHF_fsb,10.0
GBPJPY_fsb,10.0
GILT_fsb,2.53
GOLD_fsb,0.3
HANG_fsb,8.0
HEATOIL_fsb,15.0
IBXEX_fsb,3.73
JGB_fsb,3.0
JPY_fsb,5.0
JSE40_fsb,30.0
LEANHOG_fsb,7.19
LIVECOW_fsb,9.94
LUMBER_fsb,400.0
MSCISING_fsb,3.2
NASDAQ_fsb,1.5
NIKKEI_fsb,4.6
NOK_fsb,42.50
NZD_fsb,2.99
OAT_fsb,2.57
OATIES_fsb,3.84
OJ_fsb,20.0
OMXS30_fsb,0.51
PALLAD_fsb,4.0
PLAT_fsb,1.25
RICE_fsb,21.56
ROBUSTA_fsb,2.0
RUSSELL_fsb,0.25
SEK_fsb,42.50
SHATZ_fsb,0.86
SILVER_fsb,1.5
SMI_fsb,3.0
SONIA3_fsb,0.75
SOYBEAN_fsb,1.0
SOYMEAL_fsb,40.0
SOYOIL_fsb,5.0
SP500,0.13
SP500_fsb,0.5
SUGAR11_fsb,2.31
SUGAR_WHITE_fsb,0.6
US2_fsb,1.0
US5_fsb,1.0
US10,0.008
US10_fsb,1.83
US30_fsb,2.0
US30U_fsb,2.0
V2X_fsb,0.1
VIX_fsb,0.1
WHEAT_fsb,0.5
WHEAT_ICE_fsb,0.25
