Date,Month1,Month2,Month3
2021-05-25 21:16:38,DEC-21|2021-12-10 06:10:00|UNKNOWN,SEP-21|2021-09-10 05:10:00|UNKNOWN,JUN-21|2021-06-11 05:10:00|UNKNOWN
2021-06-14 21:14:07,DEC-21|2021-12-10 06:10:00|UNKNOWN,SEP-21|2021-09-10 05:10:00|UNKNOWN,MAR-22|2022-03-11 06:10:00|UNKNOWN
2021-09-11 05:28:38,DEC-21|2021-12-10 06:10:00|UNKNOWN,JUN-22|2022-06-10 05:10:00|UNKNOWN,MAR-22|2022-03-11 06:10:00|UNKNOWN
2021-12-10 05:22:52,SEP-22|2022-09-12 05:10:00|UNKNOWN,JUN-22|2022-06-10 05:10:00|UNKNOWN,MAR-22|2022-03-11 06:10:00|UNKNOWN
2021-12-30 05:21:30,SEP-22|2022-09-09 05:10:00|UNKNOWN,JUN-22|2022-06-10 05:10:00|UNKNOWN,MAR-22|2022-03-11 06:10:00|UNKNOWN
2022-03-11 20:06:56,SEP-22|2022-09-09 05:10:00|UNKNOWN,JUN-22|2022-06-10 05:10:00|UNKNOWN,DEC-22|2022-12-12 06:10:00|UNKNOWN
2022-06-10 20:07:04,SEP-22|2022-09-09 05:10:00|UNKNOWN,MAR-23|2023-03-10 06:10:00|UNKNOWN,DEC-22|2022-12-12 06:10:00|UNKNOWN
2022-09-09 20:06:56,JUN-23|2023-06-12 05:10:00|UNKNOWN,MAR-23|2023-03-10 06:10:00|UNKNOWN,DEC-22|2022-12-12 06:10:00|UNKNOWN
2022-12-12 20:06:55,JUN-23|2023-06-12 05:10:00|UNKNOWN,MAR-23|2023-03-10 06:10:00|UNKNOWN,SEP-23|2023-09-12 05:10:00|UNKNOWN
2022-12-22 20:06:56,JUN-23|2023-06-12 05:10:00|UNKNOWN,MAR-23|2023-03-10 06:10:00|UNKNOWN,SEP-23|2023-09-11 05:10:00|UNKNOWN
2023-02-09 19:13:05,JUN-23|2023-06-12 05:10:00|OFFLINE,MAR-23|2023-03-10 06:10:00|TRADEABLE,SEP-23|2023-09-11 05:10:00|OFFLINE
2023-03-08 11:16:56,JUN-23|2023-06-12 05:10:00|TRADEABLE,MAR-23|2023-03-10 06:10:00|TRADEABLE,SEP-23|2023-09-11 05:10:00|OFFLINE
2023-03-10 11:16:55,JUN-23|2023-06-12 05:10:00|TRADEABLE,DEC-23|2023-12-12 06:10:00|OFFLINE,SEP-23|2023-09-11 05:10:00|OFFLINE
2023-06-12 11:16:56,JUN-23|2023-06-12 05:10:00|CLOSED,DEC-23|2023-12-12 06:10:00|OFFLINE,SEP-23|2023-09-11 05:10:00|CLOSED
2023-06-13 11:17:30,MAR-24|2024-03-12 06:10:00|OFFLINE,DEC-23|2023-12-12 06:10:00|OFFLINE,SEP-23|2023-09-11 05:10:00|TRADEABLE
2023-09-08 11:16:55,MAR-24|2024-03-12 06:10:00|OFFLINE,DEC-23|2023-12-12 06:10:00|TRADEABLE,SEP-23|2023-09-11 05:10:00|TRADEABLE
2023-09-11 11:16:54,MAR-24|2024-03-12 06:10:00|OFFLINE,DEC-23|2023-12-12 06:10:00|TRADEABLE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-06 11:16:55,MAR-24|2024-03-12 06:10:00|OFFLINE,DEC-23|2023-12-12 06:10:00|EDITS_ONLY,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-07 11:16:57,MAR-24|2024-03-12 06:10:00|OFFLINE,DEC-23|2023-12-12 06:10:00|TRADEABLE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-11 11:16:51,MAR-24|2024-03-12 06:10:00|TRADEABLE,DEC-23|2023-12-12 06:10:00|TRADEABLE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-12 11:16:52,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-12 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-20 11:16:51,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-11 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-25 11:16:56,MAR-24|2024-03-12 06:10:00|EDITS_ONLY,SEP-24|2024-09-12 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-26 11:16:51,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-12 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2023-12-28 11:16:51,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-11 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2024-01-01 11:16:51,MAR-24|2024-03-12 06:10:00|EDITS_ONLY,SEP-24|2024-09-12 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2024-01-02 11:16:51,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-12 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2024-01-11 13:26:53,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-11 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|OFFLINE
2024-03-11 11:16:54,MAR-24|2024-03-12 06:10:00|TRADEABLE,SEP-24|2024-09-11 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|TRADEABLE
2024-03-12 11:16:55,DEC-24|2024-12-12 06:10:00|OFFLINE,SEP-24|2024-09-11 05:10:00|OFFLINE,JUN-24|2024-06-12 05:10:00|TRADEABLE
2024-06-06 11:16:50,DEC-24|2024-12-12 06:10:00|OFFLINE,SEP-24|2024-09-11 05:10:00|TRADEABLE,JUN-24|2024-06-12 05:10:00|TRADEABLE
2024-06-12 11:16:57,DEC-24|2024-12-12 06:10:00|OFFLINE,SEP-24|2024-09-11 05:10:00|TRADEABLE,MAR-25|2025-03-12 06:10:00|OFFLINE
