Date,Month1,Month2,Month3
2021-03-15 22:54:30,APR-21|2021-03-26 19:30:00|UNKNOWN,MAY-21|2021-04-27 18:30:00|UNKNOWN,UNKNOWN
2021-03-26 21:42:44,JUN-21|2021-05-25 18:30:00|UNKNOWN,MAY-21|2021-04-27 18:30:00|UNKNOWN,UNKNOWN
2021-04-27 21:42:31,JUN-21|2021-05-25 18:30:00|UNKNOWN,JUL-21|2021-06-25 18:30:00|UNKNOWN,UNKNOWN
2021-05-25 21:16:38,AUG-21|2021-07-27 18:30:00|UNKNOWN,JUL-21|2021-06-25 18:30:00|UNKNOWN,UNKNOWN
2021-06-26 05:28:42,AUG-21|2021-07-27 18:30:00|UNKNOWN,SEP-21|2021-08-26 18:30:00|UNKNOWN,UNKNOWN
2021-07-28 05:28:32,OCT-21|2021-09-27 18:30:00|UNKNOWN,SEP-21|2021-08-26 18:30:00|UNKNOWN,UNKNOWN
2021-08-27 05:22:47,OCT-21|2021-09-27 18:30:00|UNKNOWN,NOV-21|2021-10-26 18:30:00|UNKNOWN,UNKNOWN
2021-09-28 05:28:31,DEC-21|2021-11-24 19:30:00|UNKNOWN,NOV-21|2021-10-26 18:30:00|UNKNOWN,UNKNOWN
2021-10-27 10:37:44,DEC-21|2021-11-24 19:30:00|UNKNOWN,JAN-22|2021-12-28 19:30:00|UNKNOWN,UNKNOWN
2021-11-25 05:29:08,FEB-22|2022-01-26 19:30:00|UNKNOWN,JAN-22|2021-12-28 19:30:00|UNKNOWN,UNKNOWN
2021-12-29 05:21:31,FEB-22|2022-01-26 19:30:00|UNKNOWN,MAR-22|2022-02-23 19:30:00|UNKNOWN,UNKNOWN
2022-01-27 05:22:40,APR-22|2022-03-28 18:30:00|UNKNOWN,MAR-22|2022-02-23 19:30:00|UNKNOWN,UNKNOWN
2022-02-23 20:06:57,APR-22|2022-03-28 18:30:00|UNKNOWN,MAY-22|2022-04-26 18:30:00|UNKNOWN,UNKNOWN
2022-03-28 20:06:56,JUN-22|2022-05-25 18:30:00|UNKNOWN,MAY-22|2022-04-26 18:30:00|UNKNOWN,UNKNOWN
2022-04-26 20:06:56,JUN-22|2022-05-25 18:30:00|UNKNOWN,JUL-22|2022-06-27 18:30:00|UNKNOWN,UNKNOWN
2022-05-25 20:06:56,AUG-22|2022-07-26 18:30:00|UNKNOWN,JUL-22|2022-06-27 18:30:00|UNKNOWN,UNKNOWN
2022-07-11 20:06:54,AUG-22|2022-07-26 18:30:00|UNKNOWN,SEP-22|2022-08-26 18:30:00|UNKNOWN,UNKNOWN
2022-07-26 20:06:56,OCT-22|2022-09-27 18:30:00|UNKNOWN,SEP-22|2022-08-26 18:30:00|UNKNOWN,UNKNOWN
2022-08-26 20:06:55,OCT-22|2022-09-27 18:30:00|UNKNOWN,NOV-22|2022-10-26 18:30:00|UNKNOWN,UNKNOWN
2022-09-27 20:06:56,DEC-22|2022-11-25 19:30:00|UNKNOWN,NOV-22|2022-10-26 18:30:00|UNKNOWN,UNKNOWN
2022-10-26 20:06:55,DEC-22|2022-11-25 19:30:00|UNKNOWN,JAN-23|2022-12-27 19:30:00|UNKNOWN,UNKNOWN
2022-11-25 20:06:55,FEB-23|2023-01-26 19:30:00|UNKNOWN,JAN-23|2022-12-27 19:30:00|UNKNOWN,UNKNOWN
2022-12-27 20:06:55,FEB-23|2023-01-26 19:30:00|UNKNOWN,MAR-23|2023-02-23 19:30:00|UNKNOWN,UNKNOWN
2023-01-26 20:15:46,APR-23|2023-03-28 18:30:00|UNKNOWN,MAR-23|2023-02-23 19:30:00|UNKNOWN,UNKNOWN
2023-02-09 19:13:05,APR-23|2023-03-28 18:30:00|OFFLINE,MAR-23|2023-02-23 19:30:00|TRADEABLE,UNKNOWN
2023-02-20 11:16:56,APR-23|2023-03-28 18:30:00|TRADEABLE,MAR-23|2023-02-23 19:30:00|TRADEABLE,UNKNOWN
2023-02-27 12:08:48,APR-23|2023-03-28 18:30:00|TRADEABLE,MAY-23|2023-04-25 18:30:00|OFFLINE,UNKNOWN
2023-03-10 11:16:55,APR-23|2023-03-28 18:30:00|TRADEABLE,MAY-23|2023-04-25 18:30:00|TRADEABLE,UNKNOWN
2023-03-30 11:17:13,JUN-23|2023-05-25 18:30:00|OFFLINE,MAY-23|2023-04-25 18:30:00|TRADEABLE,UNKNOWN
2023-04-04 11:16:55,JUN-23|2023-05-25 18:30:00|TRADEABLE,MAY-23|2023-04-25 18:30:00|TRADEABLE,UNKNOWN
2023-04-10 11:16:56,JUN-23|2023-05-25 18:30:00|EDITS_ONLY,MAY-23|2023-04-25 18:30:00|EDITS_ONLY,UNKNOWN
2023-04-11 11:17:26,JUN-23|2023-05-25 18:30:00|TRADEABLE,MAY-23|2023-04-25 18:30:00|TRADEABLE,UNKNOWN
2023-04-27 11:16:54,JUN-23|2023-05-25 18:30:00|TRADEABLE,JUL-23|2023-06-27 18:30:00|OFFLINE,UNKNOWN
2023-05-25 11:16:55,JUN-23|2023-05-25 18:30:00|TRADEABLE,JUL-23|2023-06-27 18:30:00|TRADEABLE,UNKNOWN
2023-05-29 11:16:52,AUG-23|2023-07-26 18:30:00|OFFLINE,JUL-23|2023-06-27 18:30:00|TRADEABLE,UNKNOWN
2023-06-21 11:16:55,AUG-23|2023-07-26 18:30:00|TRADEABLE,JUL-23|2023-06-27 18:30:00|TRADEABLE,UNKNOWN
2023-06-29 11:17:25,AUG-23|2023-07-26 18:30:00|TRADEABLE,SEP-23|2023-08-28 18:30:00|TRADEABLE,UNKNOWN
2023-07-27 11:16:55,OCT-23|2023-09-26 18:30:00|OFFLINE,SEP-23|2023-08-28 18:30:00|TRADEABLE,UNKNOWN
2023-08-01 11:16:55,OCT-23|2023-09-26 18:30:00|TRADEABLE,SEP-23|2023-08-28 18:30:00|TRADEABLE,UNKNOWN
2023-08-29 11:16:56,OCT-23|2023-09-26 18:30:00|TRADEABLE,NOV-23|2023-10-26 18:30:00|OFFLINE,UNKNOWN
2023-08-30 11:16:55,OCT-23|2023-09-26 18:30:00|TRADEABLE,NOV-23|2023-10-26 18:30:00|TRADEABLE,UNKNOWN
2023-09-27 11:16:54,DEC-23|2023-11-27 19:30:00|TRADEABLE,NOV-23|2023-10-26 18:30:00|TRADEABLE,UNKNOWN
2023-10-27 11:16:55,DEC-23|2023-11-27 19:30:00|TRADEABLE,JAN-24|2023-12-26 19:30:00|TRADEABLE,UNKNOWN
2023-11-28 11:16:54,FEB-24|2024-01-26 19:30:00|OFFLINE,JAN-24|2023-12-26 19:30:00|TRADEABLE,UNKNOWN
2023-11-29 11:16:55,FEB-24|2024-01-26 19:30:00|TRADEABLE,JAN-24|2023-12-26 19:30:00|TRADEABLE,UNKNOWN
2023-12-25 11:16:56,FEB-24|2024-01-26 19:30:00|EDITS_ONLY,JAN-24|2023-12-26 19:30:00|EDITS_ONLY,UNKNOWN
2023-12-26 11:16:51,FEB-24|2024-01-26 19:30:00|TRADEABLE,JAN-24|2023-12-26 19:30:00|TRADEABLE,UNKNOWN
2023-12-27 11:16:51,FEB-24|2024-01-26 19:30:00|TRADEABLE,MAR-24|2024-02-26 19:30:00|OFFLINE,UNKNOWN
2024-01-01 11:16:51,FEB-24|2024-01-26 19:30:00|EDITS_ONLY,MAR-24|2024-02-26 19:30:00|OFFLINE,UNKNOWN
2024-01-02 11:16:51,FEB-24|2024-01-26 19:30:00|TRADEABLE,MAR-24|2024-02-26 19:30:00|OFFLINE,UNKNOWN
2024-01-11 13:26:53,FEB-24|2024-01-26 19:30:00|TRADEABLE,MAR-24|2024-02-26 19:30:00|TRADEABLE,UNKNOWN
2024-01-29 11:16:54,APR-24|2024-03-25 19:30:00|TRADEABLE,MAR-24|2024-02-26 19:30:00|TRADEABLE,UNKNOWN
2024-02-27 11:16:56,APR-24|2024-03-25 19:30:00|TRADEABLE,MAY-24|2024-04-25 18:30:00|OFFLINE,UNKNOWN
2024-03-01 11:16:56,APR-24|2024-03-25 19:30:00|TRADEABLE,MAY-24|2024-04-25 18:30:00|TRADEABLE,UNKNOWN
2024-03-26 11:16:51,JUL-24|2024-06-25 18:30:00|OFFLINE,MAY-24|2024-04-25 18:30:00|TRADEABLE,UNKNOWN
2024-03-28 10:23:26,JUL-24|2024-06-25 18:30:00|OFFLINE,MAY-24|2024-04-25 18:30:00|TRADEABLE,JUN-24|2024-05-28 18:30:00|TRADEABLE
2024-03-29 11:16:51,JUL-24|2024-06-25 18:30:00|OFFLINE,MAY-24|2024-04-25 18:30:00|EDITS_ONLY,JUN-24|2024-05-28 18:30:00|EDITS_ONLY
2024-04-01 11:16:51,JUL-24|2024-06-25 18:30:00|OFFLINE,MAY-24|2024-04-25 18:30:00|TRADEABLE,JUN-24|2024-05-28 18:30:00|TRADEABLE
